what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1305690464426
os,sysinfo,,,"linux",1305690464430
arch,sysinfo,,,"x86",1305690464430
ws,sysinfo,,,"gtk",1305690464430
locale,sysinfo,,,"en_US",1305690464430
processors,sysinfo,,,"1",1305690464430
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1305690464430
java.runtime.version,sysinfo,,,"1.6.0_20-b20",1305690464430
java.specification.name,sysinfo,,,"Java Platform API Specification",1305690464430
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1305690464430
java.specification.version,sysinfo,,,"1.6",1305690464430
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1305690464430
java.version,sysinfo,,,"1.6.0_20",1305690464430
java.vm.info,sysinfo,,,"mixed mode, sharing",1305690464430
java.vm.name,sysinfo,,,"OpenJDK Client VM",1305690464430
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1305690464430
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1305690464430
java.vm.specification.version,sysinfo,,,"1.0",1305690464430
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1305690464430
java.vm.version,sysinfo,,,"19.0-b09",1305690464430
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1305690491568
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1305690491695
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1305690493640
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1305690493641
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1305690495181
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1305690495309
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1305690496891
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305690553663
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305691496745
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305691499970
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305691502177
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1305691550905
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1305691569842
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305691574837
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305691585479
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1305691585681
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1305691585798
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1305691603627
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1305691603646
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1305691604243
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1305691608124
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1305691794282
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1305691802057
